Canción,Artista,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
with you/for you,Prateek Kuhad,0.732,0.309,6,-13.796,1,0.0361,0.811,0.175,0.106,0.322,114.095,audio_features,3V3PN2Rs7qjVcnBi60QdMb,spotify:track:3V3PN2Rs7qjVcnBi60QdMb,https://api.spotify.com/v1/tracks/3V3PN2Rs7qjVcnBi60QdMb,https://api.spotify.com/v1/audio-analysis/3V3PN2Rs7qjVcnBi60QdMb,231898,4
"You Loved Me, You Killed Me",Odina,0.382,0.138,3,-12.509,1,0.0318,0.944,0.00013,0.101,0.102,104.649,audio_features,1NodY8JMQCZAwpNd6Rsqew,spotify:track:1NodY8JMQCZAwpNd6Rsqew,https://api.spotify.com/v1/tracks/1NodY8JMQCZAwpNd6Rsqew,https://api.spotify.com/v1/audio-analysis/1NodY8JMQCZAwpNd6Rsqew,200906,4
Santa Monica Dream,Angus & Julia Stone,0.617,0.266,5,-13.707,1,0.0337,0.905,0.0634,0.108,0.0679,120.196,audio_features,2SAr2lP8GwNYcJvbAVTKxi,spotify:track:2SAr2lP8GwNYcJvbAVTKxi,https://api.spotify.com/v1/tracks/2SAr2lP8GwNYcJvbAVTKxi,https://api.spotify.com/v1/audio-analysis/2SAr2lP8GwNYcJvbAVTKxi,330200,4
Dreams Tonite,Alvvays,0.51,0.622,2,-5.727,1,0.0242,0.0108,4.11e-06,0.127,0.424,99.934,audio_features,0DRvClQbN9znQ295sx76VC,spotify:track:0DRvClQbN9znQ295sx76VC,https://api.spotify.com/v1/tracks/0DRvClQbN9znQ295sx76VC,https://api.spotify.com/v1/audio-analysis/0DRvClQbN9znQ295sx76VC,196027,4
A Boy And His Rose,Sean Heathcliff,0.318,0.664,0,-10.763,1,0.0514,0.206,0.847,0.138,0.374,111.998,audio_features,6xZ3PWSh0duo0ETm4lJ3lF,spotify:track:6xZ3PWSh0duo0ETm4lJ3lF,https://api.spotify.com/v1/tracks/6xZ3PWSh0duo0ETm4lJ3lF,https://api.spotify.com/v1/audio-analysis/6xZ3PWSh0duo0ETm4lJ3lF,192072,4
In The Morning,Nicole Reynolds,0.557,0.0758,11,-15.367,1,0.0373,0.951,0.000145,0.105,0.359,109.353,audio_features,5G89r6tEKp9ZrR3xivmMET,spotify:track:5G89r6tEKp9ZrR3xivmMET,https://api.spotify.com/v1/tracks/5G89r6tEKp9ZrR3xivmMET,https://api.spotify.com/v1/audio-analysis/5G89r6tEKp9ZrR3xivmMET,176600,4
Agoraphobia,Autoheart,0.437,0.248,2,-15.22,1,0.0287,0.804,0.00252,0.091,0.222,139.728,audio_features,4OIuUoYoO87LnzzaHNp1Ej,spotify:track:4OIuUoYoO87LnzzaHNp1Ej,https://api.spotify.com/v1/tracks/4OIuUoYoO87LnzzaHNp1Ej,https://api.spotify.com/v1/audio-analysis/4OIuUoYoO87LnzzaHNp1Ej,265929,4
Only,RY X,0.429,0.167,7,-15.725,0,0.0298,0.902,0.522,0.109,0.0913,109.071,audio_features,1GxNPd5r7D1zChEMuMhue0,spotify:track:1GxNPd5r7D1zChEMuMhue0,https://api.spotify.com/v1/tracks/1GxNPd5r7D1zChEMuMhue0,https://api.spotify.com/v1/audio-analysis/1GxNPd5r7D1zChEMuMhue0,268456,4
Mary (Alternate),Yellow Ostrich,0.298,0.406,8,-9.738,1,0.0566,0.228,0.00122,0.122,0.246,199.469,audio_features,2WsPW6yawWU8zczAeKk4c0,spotify:track:2WsPW6yawWU8zczAeKk4c0,https://api.spotify.com/v1/tracks/2WsPW6yawWU8zczAeKk4c0,https://api.spotify.com/v1/audio-analysis/2WsPW6yawWU8zczAeKk4c0,253000,4
Promise,Ben Howard,0.367,0.189,2,-15.736,1,0.0384,0.889,0.428,0.364,0.177,156.643,audio_features,4qyfir5Yr7nfo05g6cyFMT,spotify:track:4qyfir5Yr7nfo05g6cyFMT,https://api.spotify.com/v1/tracks/4qyfir5Yr7nfo05g6cyFMT,https://api.spotify.com/v1/audio-analysis/4qyfir5Yr7nfo05g6cyFMT,384080,4
